time,content
2022년 05월 2일,e편한세상 시흥장현 퍼스트베뉴
2022년 05월 2일,남악 오룡지구 36BL 남악오룡 시티프라디움
2022년 05월 2일,서충주 푸르지오 더 퍼스트
2022년 05월 2일,센텀 아스트룸  SK VIEW
2022년 05월 2일,완주이서 신일 해피트리
2022년 05월 2일,인천시청역 한신더휴
2022년 05월 2일,휴온 아델리브 더 테라스
2022년 05월 2일,광안 스윗팰리스
2022년 05월 2일,한일 베라체 인비디아
2022년 05월 2일,광주 방림 골드클래스
2022년 05월 2일,부천 원종 아이원시티
2022년 05월 2일,서광교 파크뷰
2022년 05월 2일,송도 센트럴파크 리버리치
2022년 05월 2일,의정부역 월드메르디앙 스마트시티(의정부시 거주자 및 무주택세대구성원 대상)
2022년 05월 2일,평택화양 휴먼빌 퍼스트시티
2022년 05월 2일,호반써밋 포레센트 천안 삼룡1지구 (사후 3차)
2022년 05월 3일,e편한세상 시흥장현 퍼스트베뉴
2022년 05월 3일,광안 스윗팰리스
2022년 05월 3일,남악 오룡지구 36BL 남악오룡 시티프라디움
2022년 05월 3일,서충주 푸르지오 더 퍼스트
2022년 05월 3일,센텀 아스트룸  SK VIEW
2022년 05월 3일,완주이서 신일 해피트리
2022년 05월 3일,인천시청역 한신더휴
2022년 05월 3일,휴온 아델리브 더 테라스
2022년 05월 3일,한일 베라체 인비디아
2022년 05월 3일,광주 화정 골드클래스 2차
2022년 05월 3일,송도 Luxe Ocean SK VIEW
2022년 05월 4일,센텀 아스트룸  SK VIEW
2022년 05월 4일,인천시청역 한신더휴
2022년 05월 4일,e편한세상 시흥장현 퍼스트베뉴
2022년 05월 4일,광안 스윗팰리스
2022년 05월 4일,남악 오룡지구 36BL 남악오룡 시티프라디움
2022년 05월 4일,서충주 푸르지오 더 퍼스트
2022년 05월 4일,완주이서 신일 해피트리
2022년 05월 4일,휴온 아델리브 더 테라스
2022년 05월 4일,검단　금호어울림센트럴　공공분양（인천）
2022년 05월 6일,센텀 아스트룸  SK VIEW
2022년 05월 6일,인천시청역 한신더휴
2022년 05월 9일,1호선 전곡역 제일풍경채 리버파크
2022년 05월 9일,금곡역한신더휴
2022년 05월 9일,김해 구산 푸르지오 파크테르
2022년 05월 9일,초혁신도시 반도유보라 마크브릿지
2022년 05월 9일,만촌자이르네
2022년 05월 9일,제주 푸르지오 더 퍼스트
2022년 05월 9일,진주의 봄 프리미엄
2022년 05월 9일,신설동역 자이르네 도시형생활주택
2022년 05월 9일,대구역자이 더 스타
2022년 05월 9일,부천 원종 길성그랑프리텔
2022년 05월 9일,"사하 삼정그린코아 더시티(5회차, 부산시 거주자 및 무주택세대구성원)"
2022년 05월 9일,삼호 비스타동원
2022년 05월 9일,힐스테이트 몬테로이 1BL
2022년 05월 9일,힐스테이트 몬테로이 2BL
2022년 05월 9일,힐스테이트 몬테로이 3BL
2022년 05월 9일,과천 위버필드
2022년 05월 10일,1호선 전곡역 제일풍경채 리버파크
2022년 05월 10일,금곡역한신더휴
2022년 05월 10일,김해 구산 푸르지오 파크테르
2022년 05월 10일,만촌자이르네
2022년 05월 10일,초혁신도시 반도유보라 마크브릿지
2022년 05월 10일,제주 푸르지오 더 퍼스트
2022년 05월 10일,진주의 봄 프리미엄
2022년 05월 10일,신설동역 자이르네 도시형생활주택
2022년 05월 11일,금곡역한신더휴
2022년 05월 11일,1호선 전곡역 제일풍경채 리버파크
2022년 05월 11일,김해 구산 푸르지오 파크테르
2022년 05월 11일,만촌자이르네
2022년 05월 11일,초혁신도시 반도유보라 마크브릿지
2022년 05월 11일,브이티스타일
2022년 05월 11일,용문역 리체스트
2022년 05월 11일,칸타빌 수유팰리스
2022년 05월 12일,정관풀리페
2022년 05월 12일,금곡역한신더휴
2022년 05월 13일,정관풀리페
2022년 05월 16일,마크원 순천
2022년 05월 16일,영통 푸르지오 트레센츠(A1BL)
2022년 05월 16일,영통 푸르지오 파인베르(A2BL)
2022년 05월 16일,장락동 세영리첼 에듀퍼스트
2022년 05월 16일,제천자이 더 스카이
2022년 05월 16일,태왕아너스 더힐
2022년 05월 16일,서대전 한국아델리움
2022년 05월 16일,안양역 푸르지오 더샵
2022년 05월 17일,제천자이 더 스카이
2022년 05월 17일,마크원 순천
2022년 05월 17일,영통 푸르지오 트레센츠(A1BL)
2022년 05월 17일,영통 푸르지오 파인베르(A2BL)
2022년 05월 17일,장락동 세영리첼 에듀퍼스트
2022년 05월 17일,태왕아너스 더힐
2022년 05월 17일,트리풀시티 레이크포레(갑천3BL)
2022년 05월 18일,마크원 순천
2022년 05월 18일,영통 푸르지오 트레센츠(A1BL)
2022년 05월 18일,영통 푸르지오 파인베르(A2BL)
2022년 05월 18일,제천자이 더 스카이
2022년 05월 18일,장락동 세영리첼 에듀퍼스트
2022년 05월 18일,태왕아너스 더힐
2022년 05월 19일,마크원 순천
2022년 05월 19일,영통 푸르지오 트레센츠(A1BL)
2022년 05월 19일,영통 푸르지오 파인베르(A2BL)
2022년 05월 19일,제천자이 더 스카이
2022년 05월 20일,조례 한양수자인 디에디션
2022년 05월 23일,조례 한양수자인 디에디션
2022년 05월 24일,조례 한양수자인 디에디션
2022년 05월 25일,조례 한양수자인 디에디션
